#Altium Designer Pick and Place Locations,,,,,,,,,
#C:\Users\Steven\Dropbox\MAGE\Node\Node PCB Designs\Project Outputs for Node\Pick Place\Pick Place for Node.csv,,,,,,,,,
,,,,,,,,,
#========================================================================================================================,,,,,,,,,
#File Design Information:,,,,,,,,,
,,,,,,,,,
#Date:       07/10/17,,,,,,,,,
#Time:       14:36,,,,,,,,,
#Revision:   Not in VersionControl,,,,,,,,,
#Variant:    No variations,,,,,,,,,
#Units used: mil,,,,,,,,,
,,,,,,,,,
#Designator,Center-X(mil),Center-Y(mil),Rotation,Layer,Type,Xsize,Ysize,Value,Footprint
R18,114.173,-566.929,180,Top,1,,,470.00 Ohm,RESC0402(1005)_L
R19,-106.299,-700.788,270,Top,1,,,178000.00 Ohm,RESC0402(1005)_L
R2,-27.56,-944.882,270,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R20,114.173,-531.495,180,Top,1,,,470.00 Ohm,RESC0402(1005)_L
R21,82.678,-661.418,270,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R22,-70.865,-700.788,90,Top,1,,,178000.00 Ohm,RESC0402(1005)_L
R23,673.228,-566.928,90,Top,1,,,1000000.00 Ohm,RESC0402(1005)_L
R24,704.724,177.165,90,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R25,437.009,-570.866,90,Top,1,,,100.00 Ohm,RESC0402(1005)_L
R26,598.426,244.094,360,Bottom,1,,,1000.00 Ohm,RESC0402(1005)_L
R27,-35.433,-704.725,90,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R28,748.384,161.417,90,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R29,637.796,188.976,360,Top,1,,,47000.00 Ohm,RESC0402(1005)_L
R3,-200.787,570.866,180,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R30,385.827,287.402,180,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R31,452.756,354.33,360,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R32,476.378,141.732,90,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R33,401.576,338.583,270,Top,1,,,47000.00 Ohm,RESC0402(1005)_L
R34,570.863,169.288,360,Top,1,,,1000000.00 Ohm,RESC0402(1005)_L
R35,704.724,114.173,270,Top,1,,,47000.00 Ohm,RESC0402(1005)_L
R36,937.008,-763.779,90,Top,1,,,1000000.00 Ohm,RESC0402(1005)_L
R37,366.142,338.583,90,Top,1,,,1000000.00 Ohm,RESC0402(1005)_L
R38,547.244,122.048,360,Top,1,,,47000.00 Ohm,RESC0402(1005)_L
R39,661.418,-830.718,90,Top,1,,,100.00 Ohm,RESC0402(1005)_L
R4,-78.74,-944.882,270,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R40,0,-704.725,90,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R41,688.977,-362.204,360,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R42,688.976,-291.338,180,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R43,492.127,-248.032,360,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R44,688.976,-326.772,180,Top,1,,,47000.00 Ohm,RESC0402(1005)_L
R45,688.977,-255.906,360,Top,1,,,1000000.00 Ohm,RESC0402(1005)_L
R46,590.551,-240.157,360,Top,1,,,47000.00 Ohm,RESC0402(1005)_L
R47,-614.173,346.458,180,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R48,-23.622,984.252,360,Bottom,1,,,0.00 Ohm,RESC0402(1005)_L
R49,-208.661,641.732,90,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R5,-200.787,472.441,180,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R50,-618.111,570.867,180,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R51,-1023.622,464.566,180,Bottom,1,,,1000.00 Ohm,RESC0402(1005)_L
R52,31.496,-712.598,360,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R53,11.812,-661.417,90,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R54,-996.062,106.299,90,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R55,-1031.496,106.299,90,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R56,795.276,-586.614,180,Top,1,,,178000.00 Ohm,RESC0402(1005)_L
R57,866.143,-830.708,90,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R58,-551.181,-216.535,180,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R59,-535.432,-267.716,270,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R6,-181.103,-944.882,270,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R60,901.575,-830.708,270,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R61,-220.473,-157.48,90,Bottom,1,,,39.00 Ohm,RESC0402(1005)_L
R62,322.834,-78.74,360,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R63,322.834,-122.048,360,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R64,200.787,-248.031,180,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R65,267.716,-248.031,360,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R66,732.283,-82.677,360,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R67,732.284,-118.11,180,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R68,-255.906,-157.48,90,Bottom,1,,,39.00 Ohm,RESC0402(1005)_L
R69,-169.292,-334.646,270,Bottom,1,,,6800.00 Ohm,RESC0402(1005)_L
R7,-200.787,421.26,180,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R70,15.748,-94.487,180,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R72,-874.015,-59.055,90,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R73,-700.788,-11.811,270,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R74,-925.197,-263.78,180,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R75,-795.275,-141.733,360,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R76,791.339,377.953,360,Bottom,1,,,0.00 Ohm,RESC0402(1005)_L
R77,240.157,-7.873,90,Top,1,,,33.00 Ohm,RESC0402(1005)_M
R78,295.275,11.811,270,Top,1,,,33.00 Ohm,RESC0402(1005)_M
R79,240.157,86.615,270,Top,1,,,33.00 Ohm,RESC0402(1005)_M
R8,-259.842,-944.882,270,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R80,767.717,192.913,180,Bottom,1,,,33.00 Ohm,RESC0402(1005)_M
R81,-763.78,-551.181,180,Bottom,1,,,10000.00 Ohm,RESC0402(1005)_L
R86,-364.174,-1141.732,270,Top,1,,,33.00 Ohm,RESC0805(2012)_M
R89,-381.89,1169.291,306,Top,1,,,33.00 Ohm,RESC0805(2012)_M
R9,-342.519,-188.196,270,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R90,948.82,-421.259,270,Top,1,,,33.00 Ohm,RESC0805(2012)_M
R92,732.284,-153.543,180,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R93,732.284,-188.977,360,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R94,822.835,-405.512,180,Top,1,,,0.1Ohms,RESC1206(3216)_L
R95,161.416,1157.48,90,Top,1,,,470.00 Ohm,RESC0402(1005)_L
R96,974.41,698.819,90,Top,1,,,33.00 Ohm,RESC0805(2012)_M
R97,-1196.85,23.622,270,Top,1,,,33.00 Ohm,RESC0805(2012)_M
SW1,-192.913,-1051.181,180,Top,1,,,TVAF06,JNFU-TVAF06_V
SW2,-811.023,-358.268,270,Top,1,,,TVAF06,JNFU-TVAF06_V
SW5,-401.575,-240.157,360,Bottom,1,,,TVAF06,JNFU-TVAF06_V
SW7,82.678,-870.078,270,Bottom,1,,,MK24,MK24
U1,933.071,73.819,180,Top,1,,,ONSC-WDFN-8-511BN_V,ONSC-WDFN-8-511BN_V
U10,-409.449,598.425,360,Top,1,,,MCHP-SOIC-S2A8_L,MCHP-SOIC-S2A8_L
U12,-1102.362,358.268,270,Bottom,1,,,SON65P200X75-6N,SON65P200X75-6N
U13,-1007.874,531.497,180,Bottom,1,,,YZF0008AHAH,YZF0008AHAH
U14,492.127,-35.433,90,Bottom,1,,,LGA4C65P2X4_200X250X95,LGA4C65P2X4_200X250X95
U15,-224.409,-665.354,180,Bottom,1,,,QFN40P300X300X105_HS-25N,QFN40P300X300X105_HS-25N
U16,431.102,-177.166,360,Bottom,1,,,SHT3x-DIS,SHT3x-DIS
U17,0,0,360,Top,1,,,LFBGA144,LFBGA144
U18,259.842,278.071,180,Top,1,,,SPH0645LM4H-B,SPH0645LM4H-B
U19,880.433,185.039,270,Bottom,1,,,SPH0645LM4H-B,SPH0645LM4H-B
U2,-208.661,814.96,360,Top,1,,,TSSOP50P490X110-10N,TSSOP50P490X110-10N
U20,519.05,1018.692,324,Top,1,,,TSOP75x-TR,TSOP75x-TR
U23,178.852,-1129.229,180,Top,1,,,TSOP75x-TR,TSOP75x-TR
U24,-808.438,808.438,36,Top,1,,,TSOP75x-TR,TSOP75x-TR
